Season,Player,Date,Matchup,W/L,MIN,FGM,FGA,FG3M,FTM,FTA,REB,AST,STL,BLK,TOV,PTS
2007,Kobe Bryant,2007-03-16,LAL vs. POR,W,50,23,39,8,11,12,7,3,3,0,2,65
2008,Manu Ginobili,2008-02-13,SAS @ CLE,W,41,15,20,8,8,9,5,8,3,1,1,46
2009,Amar'e Stoudemire,2008-11-05,PHX @ IND,W,44,17,21,0,15,15,11,6,5,2,4,49
2010,Dirk Nowitzki,2009-11-03,DAL vs. UTA,W,39,12,22,1,15,16,11,5,2,5,0,40
2011,Kevin Durant,2011-01-26,OKC @ MIN,W,50,15,28,4,13,14,18,2,2,2,2,47
2012,Deron Williams,2012-03-04,NJN @ CHA,W,38,16,29,4,21,21,6,7,1,1,5,57
2013,Stephen Curry,2013-02-27,GSW @ NYK,L,48,18,28,11,7,7,6,7,3,0,4,54
2014,Carmelo Anthony,2014-01-24,NYK vs. CHA,W,39,23,35,6,10,10,13,0,0,0,0,62
2015,Klay Thompson,2015-01-23,GSW vs. SAC,W,33,16,25,11,9,10,2,5,4,2,4,52
2016,Stephen Curry,2015-10-31,GSW @ NOP,W,36,17,27,8,11,11,4,9,4,0,2,53
2017,Devin Booker,2017-03-24,PHX @ BOS,L,45,21,40,4,24,26,8,6,3,1,5,70
2018,James Harden,2018-01-30,HOU vs. ORL,W,46,19,30,5,17,18,10,11,4,1,5,60
2019,James Harden,2019-02-28,HOU vs. MIA,W,44,16,32,8,18,18,7,10,4,1,4,58
2020,James Harden,2019-12-13,HOU @ ORL,W,36,19,31,10,6,6,5,7,2,3,3,54
2021,Fred VanVleet,2021-02-02,TOR @ ORL,W,37,17,23,11,9,9,3,2,3,3,1,54
2022,Kyrie Irving,2022-03-15,BKN @ ORL,W,35,20,31,8,12,13,6,4,4,1,1,60
2023,Damian Lillard,2023-02-26,POR vs. HOU,W,39,22,38,13,14,14,6,6,0,0,2,71
2024,Luka Doncic,2023-12-25,DAL @ PHX,W,44,15,25,8,12,12,6,15,4,3,4,50