season,name,host,draft,cats,roster,duration,link
2025,Hullude Silmade Liiga,Fantrax,auction,9,13,3:35,https://www.fantrax.com/fantasy/league/phgkz2f4m1rsp3pr/home
2024,God Shammgodi All-Star Liiga,Fantrax,auction,9,13,3:30,https://www.fantrax.com/fantasy/league/iw1kr731lndunkau/home
2023,Gilbert Arenase All-Star Liiga,Fantrax,auction,9,13,3:08,https://www.fantrax.com/fantasy/league/po1iyqrxl8u0d7ht/home
2022,Ricky Rubio All-Star Liiga,Fantrax,auction,9,13,3:10,https://www.fantrax.com/fantasy/league/1lr5ve40ku9nj55t/home
2021,Haliburtoni Ülikonnaliiga,Fantrax,auction,9,13,3:16,https://www.fantrax.com/fantasy/league/putv8st8ki6xnprm/home
2020,Herro Kitty liiga,Fantrax,auction,9,15,3:40,https://www.fantrax.com/fantasy/league/ar0i2kp6k0h7lojk/home
2019,"Nägemist, ESPN!",Fantrax,auction,9,15,3:27,https://www.fantrax.com/fantasy/league/kgm0an6fjmo288s4/home
2018,Zipsiku Liiga,ESPN,auction,9,15,3:33,http://games.espn.go.com/fba/leagueoffice?leagueId=106007
2017,O-Si-Nene Liiga,ESPN,auction,8,13,3:07,http://games.espn.go.com/fba/leagueoffice?leagueId=106007
2016,Jabari vigastuste liiga,ESPN,auction,8,13,,http://games.espn.go.com/fba/leagueoffice?leagueId=106007
2015,Devin Harris on naljakas,ESPN,auction,8,13,3:00,http://games.espn.go.com/fba/leagueoffice?leagueId=106007
2014,Kes on Kentavious Caldwell-Pope?,ESPN,auction,8,13,2:48,https://www.espn.com/fantasy/basketball/?leagueId=106007
2013,Vucevici Gangnam-liiga,ESPN,auction,8,13,2:26,https://www.espn.com/fantasy/basketball/?leagueId=106007
2012,Nowitzki-armastuse liiga,ESPN,auction,8,13,,http://games.espn.com/fba/leagueoffice?leagueId=57000
2011,Duranti gay-armastuse liiga,ESPN,auction,8,13,3:12,http://games.espn.com/fba/leagueoffice?leagueId=57000
2010,Meie Fantasy,ESPN,auction,8,13,,http://games.espn.com/fba/leagueoffice?leagueId=27308
2009,"Me armastame sind, ESPN!",ESPN,snake,8,13,,http://games.espn.go.com/fba/leagueoffice?leagueId=65865
2008,Tartu Rocki fänniklubi,NBA.com,snake,8,12,,
2007,Hip-Hop Elustiil,NBA.com,snake,8,10,,